Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100000,Male,Yes,3+,Graduate,No,4161,0,151418,300,,Semiurban,Y
LP100001,Male,No,0,Not Graduate,No,9938,1655,383083,300,1,Urban,Y
LP100002,Female,No,0,Graduate,No,7298,4729,277333,300,1,Rural,Y
LP100003,Male,Yes,1,Graduate,No,14744,0,568315,300,1,Semiurban,Y
LP100004,Male,Yes,0,Graduate,Yes,2134,2514,92917,180,1,Semiurban,Y
LP100005,Female,Yes,1,Graduate,No,4321,5996,236379,300,1,Urban,Y
LP100006,Male,No,0,Graduate,No,3877,0,99618,300,1,Semiurban,Y
LP100007,Male,Yes,0,Graduate,No,1689,0,43774,300,1,Semiurban,N
LP100008,Male,No,0,Graduate,No,8959,0,371501,300,1,Urban,N
LP100009,Male,Yes,0,Not Graduate,No,4309,15000,191575,300,1,Semiurban,Y
LP100010,Male,No,0,Graduate,No,7510,781,227736,300,1,Semiurban,Y
LP100011,Female,Yes,0,Graduate,No,18308,1111,700000,300,1,Rural,Y
LP100012,Male,No,2,Not Graduate,No,4117,2413,122543,300,1,Urban,Y
LP100013,Female,Yes,0,Not Graduate,No,3966,2377,111547,300,1,Rural,Y
LP100014,Male,Yes,0,Graduate,No,5337,7049,310734,300,,Semiurban,Y
LP100015,Male,No,0,Graduate,Yes,8606,1127,241627,240,1,Urban,Y
LP100016,Male,No,0,Graduate,No,3661,3391,155014,300,1,Urban,Y
LP100017,Male,No,0,Graduate,No,3534,4061,137618,300,1,Urban,Y
LP100018,Female,Yes,1,Graduate,No,8943,2948,307300,180,1,Urban,N
LP100019,Male,Yes,0,Not Graduate,No,6158,919,182051,300,1,Semiurban,N
LP100020,Male,Yes,2,Not Graduate,No,1624,4822,81314,300,1,Semiurban,Y
LP100021,Male,Yes,3+,Graduate,No,2548,4256,157583,240,1,Urban,Y
LP100022,Female,No,0,Graduate,No,11417,2739,450344,300,1,Rural,Y
