attendance,study_hours,assignment_score,previous_score,absences,participation,passed
59,7.4,85.6,81.6,17,44,1
90,5.9,43.7,92,5,79,1
85,2.9,69.8,94.5,6,86,1
75,7.8,68.4,65.3,6,45,1
74,6.5,90.7,66.4,3,30,1
94,6,65.1,86,3,92,1
58,4.1,60,52,7,31,0
87,2.9,76.6,88.6,18,68,0
64,1.7,52.3,64.6,0,39,0
59,7.3,44.1,38.1,5,30,0
79,4.2,66.1,35,1,82,1
99,2.4,62.1,88.9,11,31,0
88,3.1,50.1,33.9,5,74,0
90,5.1,58.9,49.6,16,76,1
88,2.2,58.8,53.4,12,24,0
91,7,56.3,42.1,16,34,0
78,6.3,59.7,52,13,84,0
60,6,79.6,82,9,61,1
93,4,54.3,31,18,29,0
75,5.4,96.7,87.9,10,100,1
78,5.1,94.6,90,19,41,0
72,5.5,66.3,56.1,20,20,0
63,1.6,56.3,40.8,12,94,0
97,3.9,69.8,72.1,14,21,0
90,1.3,90.2,38.4,5,64,0
84,4.5,77.4,55.5,17,100,0
73,3.3,87.3,97.1,14,66,0
92,2,69.6,99.7,18,67,1
80,1.7,76.1,84,5,51,0
75,5.1,53.7,51.8,16,30,0
75,2.2,82.8,78.1,9,66,0
65,7.5,48.2,79.4,3,92,1
59,5.1,80.2,57.1,3,27,1
80,3.4,90.9,74.9,11,91,1
95,5.1,43.6,30.8,6,53,0
57,1.2,74.9,44.6,2,63,0
94,7.7,41.2,66.8,8,33,1
93,4.4,82.2,41.5,13,70,1
67,6.5,40.5,41.6,6,34,0
84,1.6,95.8,88.5,20,42,0
62,4.4,43.9,99.2,16,78,0
89,4.4,97.3,68.9,10,24,0
87,7.6,87.1,88.7,19,56,1
71,5,73.6,99.3,9,68,1
58,4.3,85.9,39.9,2,30,0
99,2.9,86.7,61.4,0,43,1
75,3.3,96.5,57.5,19,47,0
96,4.6,51.5,35.6,20,73,0
86,4.1,73.4,82.9,15,99,1
90,1.2,41.2,60.4,2,87,0
89,6.8,75.1,62.9,6,35,1
63,7.3,46.1,40.5,0,21,0
71,2,71.7,42.7,1,24,0
76,4.9,72.2,93.5,5,68,1
77,1.8,65.3,33.1,12,32,0
57,5.7,69,46.3,1,38,0
80,3,84.7,50.4,20,88,0
62,5.6,87,64.3,9,90,1
89,6.1,67,71.1,5,87,1
86,6.4,74,64.5,10,40,1
97,1.8,95.5,35.9,16,70,0
89,7.4,42.8,47.1,6,69,1
71,2.6,42.6,89.1,0,35,0
99,1.3,40.7,74.6,1,64,0
73,4.9,77.8,75.4,17,62,1
69,3.6,62.2,76.9,2,52,1
96,6.8,85.3,83.4,13,80,1
72,6.7,78.6,34.1,8,74,1
58,3.2,56.7,55.7,16,63,0
76,7.7,93.4,67.8,1,78,1
91,3,84.6,53.7,18,81,1
63,4.6,52.6,89.1,14,65,0
